time = 4.957401e-05, dt=6.902956e-07, e(0)=5.020422e+06
time = 5.026158e-05, dt=6.875696e-07, e(0)=4.982118e+06
time = 5.094851e-05, dt=6.869291e-07, e(0)=4.944941e+06
time = 5.163544e-05, dt=6.869291e-07, e(0)=4.908827e+06
time = 5.232236e-05, dt=6.869291e-07, e(0)=4.873751e+06
time = 5.300929e-05, dt=6.869291e-07, e(0)=4.839686e+06
time = 5.369622e-05, dt=6.869291e-07, e(0)=4.806605e+06
time = 5.438315e-05, dt=6.869291e-07, e(0)=4.774481e+06
time = 5.507008e-05, dt=6.869291e-07, e(0)=4.743286e+06
time = 5.583378e-05, dt=7.637004e-07, e(0)=4.709698e+06
time = 5.659748e-05, dt=7.637004e-07, e(0)=4.677185e+06
time = 5.743999e-05, dt=8.425070e-07, e(0)=4.642556e+06
time = 5.828250e-05, dt=8.425070e-07, e(0)=4.609135e+06
time = 5.922740e-05, dt=9.449064e-07, e(0)=4.573079e+06
time = 6.017231e-05, dt=9.449064e-07, e(0)=4.538402e+06
time = 6.111722e-05, dt=9.449064e-07, e(0)=4.505032e+06
time = 6.206212e-05, dt=9.449064e-07, e(0)=4.472900e+06
time = 6.300703e-05, dt=9.449064e-07, e(0)=4.441936e+06
time = 6.395193e-05, dt=9.449064e-07, e(0)=4.412074e+06
time = 6.489684e-05, dt=9.449064e-07, e(0)=4.383248e+06
time = 6.594875e-05, dt=1.051912e-06, e(0)=4.352346e+06
time = 6.700066e-05, dt=1.051912e-06, e(0)=4.322566e+06
time = 6.805258e-05, dt=1.051912e-06, e(0)=4.293828e+06
time = 6.910449e-05, dt=1.051912e-06, e(0)=4.266057e+06
time = 7.015640e-05, dt=1.051912e-06, e(0)=4.239181e+06
time = 7.120831e-05, dt=1.051912e-06, e(0)=4.213132e+06
time = 7.226022e-05, dt=1.051912e-06, e(0)=4.187846e+06
time = 7.331214e-05, dt=1.051912e-06, e(0)=4.163262e+06
time = 7.436405e-05, dt=1.051912e-06, e(0)=4.139325e+06
time = 7.541596e-05, dt=1.051912e-06, e(0)=4.115981e+06
time = 7.646787e-05, dt=1.051912e-06, e(0)=4.093183e+06
time = 7.751978e-05, dt=1.051912e-06, e(0)=4.070884e+06
time = 7.857169e-05, dt=1.051912e-06, e(0)=4.049042e+06
time = 7.960823e-05, dt=1.036532e-06, e(0)=4.027928e+06
time = 8.062232e-05, dt=1.014093e-06, e(0)=4.007628e+06
time = 8.161661e-05, dt=9.942879e-07, e(0)=3.988042e+06
time = 8.259374e-05, dt=9.771364e-07, e(0)=3.969073e+06
time = 8.355625e-05, dt=9.625062e-07, e(0)=3.950639e+06
time = 8.450649e-05, dt=9.502373e-07, e(0)=3.932664e+06
time = 8.544676e-05, dt=9.402756e-07, e(0)=3.915082e+06
time = 8.637979e-05, dt=9.330255e-07, e(0)=3.897820e+06
time = 8.730884e-05, dt=9.290505e-07, e(0)=3.880802e+06
time = 8.823735e-05, dt=9.285148e-07, e(0)=3.863951e+06
time = 8.916587e-05, dt=9.285148e-07, e(0)=3.847248e+06
time = 9.009438e-05, dt=9.285148e-07, e(0)=3.830682e+06
time = 9.102290e-05, dt=9.285148e-07, e(0)=3.814245e+06
time = 9.195141e-05, dt=9.285148e-07, e(0)=3.797930e+06
time = 9.287993e-05, dt=9.285148e-07, e(0)=3.781729e+06
time = 9.380844e-05, dt=9.285148e-07, e(0)=3.765637e+06
time = 9.485055e-05, dt=1.042108e-06, e(0)=3.747700e+06
time = 9.589266e-05, dt=1.042108e-06, e(0)=3.729888e+06
time = 9.703924e-05, dt=1.146581e-06, e(0)=3.710428e+06
time = 9.818582e-05, dt=1.146581e-06, e(0)=3.691109e+06
time = 9.933240e-05, dt=1.146581e-06, e(0)=3.671926e+06
time = 1.004790e-04, dt=1.146581e-06, e(0)=3.652878e+06
time = 1.016256e-04, dt=1.146581e-06, e(0)=3.633964e+06
time = 1.027721e-04, dt=1.146581e-06, e(0)=3.615183e+06
time = 1.040590e-04, dt=1.286827e-06, e(0)=3.594263e+06
time = 1.053458e-04, dt=1.286827e-06, e(0)=3.573514e+06
time = 1.066326e-04, dt=1.286827e-06, e(0)=3.552939e+06
time = 1.079195e-04, dt=1.286827e-06, e(0)=3.532543e+06
time = 1.092063e-04, dt=1.286827e-06, e(0)=3.512330e+06
time = 1.104931e-04, dt=1.286827e-06, e(0)=3.492306e+06
time = 1.117799e-04, dt=1.286827e-06, e(0)=3.472478e+06
time = 1.130668e-04, dt=1.286827e-06, e(0)=3.452851e+06
time = 1.143536e-04, dt=1.286827e-06, e(0)=3.433432e+06
time = 1.156404e-04, dt=1.286827e-06, e(0)=3.414229e+06
time = 1.169272e-04, dt=1.286827e-06, e(0)=3.395248e+06
time = 1.182141e-04, dt=1.286827e-06, e(0)=3.376497e+06
time = 1.195009e-04, dt=1.286827e-06, e(0)=3.357981e+06
time = 1.207877e-04, dt=1.286827e-06, e(0)=3.339708e+06
time = 1.220745e-04, dt=1.286827e-06, e(0)=3.321685e+06
time = 1.233614e-04, dt=1.286827e-06, e(0)=3.303916e+06
time = 1.246482e-04, dt=1.286827e-06, e(0)=3.286408e+06
time = 1.259157e-04, dt=1.267539e-06, e(0)=3.269421e+06
time = 1.271570e-04, dt=1.241295e-06, e(0)=3.253039e+06
time = 1.283757e-04, dt=1.218656e-06, e(0)=3.237204e+06
time = 1.295753e-04, dt=1.199586e-06, e(0)=3.221860e+06
time = 1.307592e-04, dt=1.183924e-06, e(0)=3.206955e+06
time = 1.319308e-04, dt=1.171603e-06, e(0)=3.192440e+06
time = 1.330934e-04, dt=1.162623e-06, e(0)=3.178271e+06
time = 1.342507e-04, dt=1.157289e-06, e(0)=3.164400e+06
time = 1.354066e-04, dt=1.155844e-06, e(0)=3.150779e+06
time = 1.365624e-04, dt=1.155844e-06, e(0)=3.137391e+06
time = 1.377182e-04, dt=1.155844e-06, e(0)=3.124236e+06
time = 1.388741e-04, dt=1.155844e-06, e(0)=3.111314e+06
time = 1.400299e-04, dt=1.155844e-06, e(0)=3.098624e+06
time = 1.411858e-04, dt=1.155844e-06, e(0)=3.086164e+06
time = 1.423416e-04, dt=1.155844e-06, e(0)=3.073934e+06
time = 1.436235e-04, dt=1.281867e-06, e(0)=3.060645e+06
time = 1.449054e-04, dt=1.281867e-06, e(0)=3.047633e+06
time = 1.461872e-04, dt=1.281867e-06, e(0)=3.034893e+06
time = 1.474691e-04, dt=1.281867e-06, e(0)=3.022421e+06
time = 1.487510e-04, dt=1.281867e-06, e(0)=3.010213e+06
time = 1.501865e-04, dt=1.435538e-06, e(0)=2.996861e+06
time = 1.516220e-04, dt=1.435538e-06, e(0)=2.983826e+06
time = 1.530576e-04, dt=1.435538e-06, e(0)=2.971099e+06
time = 1.546434e-04, dt=1.585840e-06, e(0)=2.957401e+06
time = 1.562223e-04, dt=1.578900e-06, e(0)=2.944112e+06
time = 1.577976e-04, dt=1.575332e-06, e(0)=2.931189e+06
time = 1.593730e-04, dt=1.575332e-06, e(0)=2.918587e+06
time = 1.609483e-04, dt=1.575332e-06, e(0)=2.906294e+06
time = 1.625236e-04, dt=1.575332e-06, e(0)=2.894295e+06
time = 1.640990e-04, dt=1.575332e-06, e(0)=2.882577e+06
time = 1.656743e-04, dt=1.575332e-06, e(0)=2.871124e+06
time = 1.672496e-04, dt=1.575332e-06, e(0)=2.859922e+06
time = 1.688250e-04, dt=1.575332e-06, e(0)=2.848958e+06
time = 1.704003e-04, dt=1.575332e-06, e(0)=2.838216e+06
time = 1.719756e-04, dt=1.575332e-06, e(0)=2.827684e+06
time = 1.735510e-04, dt=1.575332e-06, e(0)=2.817346e+06
time = 1.751263e-04, dt=1.575332e-06, e(0)=2.807190e+06
time = 1.767016e-04, dt=1.575332e-06, e(0)=2.797203e+06
time = 1.782770e-04, dt=1.575332e-06, e(0)=2.787372e+06
time = 1.798143e-04, dt=1.537379e-06, e(0)=2.777915e+06
time = 1.813153e-04, dt=1.501009e-06, e(0)=2.768802e+06
time = 1.827837e-04, dt=1.468325e-06, e(0)=2.759993e+06
time = 1.842234e-04, dt=1.439775e-06, e(0)=2.751449e+06
time = 1.856394e-04, dt=1.415910e-06, e(0)=2.743129e+06
